LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2M_MAX,T2M_MIN,WS50M_RANGE,WS50M_MIN,WS50M_MAX,WS50M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,KT,PRECTOT,QV2M,PS,T2M
11.88101,79.75921,2000,1,1,5.74,24.44,27.4,21.65,2.09,6.23,8.33,7.24,4.57,3.7,0.44,0.09,14.21,100.77,24.07
11.88101,79.75921,2000,1,2,6.18,24.64,27.73,21.56,2.24,6.06,8.3,7.18,5.17,5.14,0.61,0.08,13.89,100.74,24.38
11.88101,79.75921,2000,1,3,5.28,24.75,27.33,22.06,2.18,6.14,8.32,7.46,5.77,3.35,0.4,0.03,14.58,100.67,24.27
11.88101,79.75921,2000,1,4,6.08,24.86,27.48,21.4,2.54,5.91,8.45,7,5.34,5.17,0.61,0.03,14.99,100.66,24.21
11.88101,79.75921,2000,1,5,4.68,25.34,27.68,23,3.11,6.35,9.46,7.63,5.41,3.22,0.38,0.86,16.59,100.61,24.95
11.88101,79.75921,2000,1,6,3.4,24.95,26.78,23.37,1.38,6.81,8.2,7.49,5.29,2.55,0.3,2.09,16.89,100.61,24.7
11.88101,79.75921,2000,1,7,4.71,24.94,27.52,22.81,3.01,7.7,10.71,9.05,5.04,2.61,0.31,0.53,15.56,100.66,24.64
11.88101,79.75921,2000,1,8,4.91,25.04,27.47,22.57,2.86,7.33,10.19,8.69,4.37,2.96,0.35,0.25,15.49,100.68,24.62
11.88101,79.75921,2000,1,9,4.57,25.26,27.57,22.99,1.32,7.24,8.56,7.8,5.34,2.32,0.27,1.23,16.1,100.68,24.84
11.88101,79.75921,2000,1,10,3.75,25.49,27.41,23.66,1.17,6.4,7.57,6.97,5.03,2.81,0.33,4.68,17.29,100.63,25.15
11.88101,79.75921,2000,1,11,4.37,25.85,27.97,23.59,2.1,6.17,8.27,7.21,4.88,3.44,0.4,0.72,16.62,100.65,25.34
11.88101,79.75921,2000,1,12,4.96,26.05,28.54,23.58,1.14,4.94,6.08,5.57,4.96,4.58,0.53,0.09,16.27,100.63,25.57
11.88101,79.75921,2000,1,13,6.07,25.94,28.78,22.71,2.11,4.05,6.15,4.98,4.5,4.71,0.55,0.07,15.78,100.64,25.3
11.88101,79.75921,2000,1,14,6.16,26.14,28.87,22.71,1.85,2.79,4.64,3.77,4.89,4.94,0.57,0.02,15.94,100.54,25.26
11.88101,79.75921,2000,1,15,5.94,26.5,29.44,23.51,4.37,1.6,5.97,3.53,5.77,4.7,0.54,0,16.31,100.61,25.75
11.88101,79.75921,2000,1,16,4.99,25.82,28.04,23.05,2.31,3.97,6.28,5.12,5.88,5.16,0.59,0.02,16.55,100.7,25.33
11.88101,79.75921,2000,1,17,5.86,25.74,28.72,22.86,2.13,5.2,7.33,6.33,5.74,5.02,0.58,0.01,16.05,100.86,25.06
11.88101,79.75921,2000,1,18,6.37,25.65,28.51,22.13,2.28,5.72,7.99,6.9,5.89,5.89,0.67,0,15.46,100.98,24.82
11.88101,79.75921,2000,1,19,7.52,25.33,28.74,21.22,2.54,3.96,6.5,5.28,5.13,5.14,0.59,0,15.43,100.9,24.45
11.88101,79.75921,2000,1,20,7.18,25.33,28.87,21.69,4.8,1.16,5.96,3.49,6.35,6.24,0.71,0,14.12,100.76,24.48
11.88101,79.75921,2000,1,21,7.75,24.85,28.53,20.79,4.99,0.9,5.89,3.13,6.41,6.42,0.73,0,13.26,100.82,23.91
